timestamp,question,answer,feedback
2026-01-11T02:36:16.939408,Are there any hostel facilities?,"Yes, the university provides separate hostel facilities for male and female students.",dislike
2026-01-13T06:58:16.939408,How can I contact the admissions office?,Contact: admissions@university.edu or +880-2-123456,like
2026-01-12T07:26:16.939408,When is the next semester starting?,The next semester starts in January 2026.,dislike
2026-01-10T06:16:16.939408,Are there any hostel facilities?,"Yes, the university provides separate hostel facilities for male and female students.",like
2026-01-15T11:36:16.939408,What is the tuition fee for CSE?,"The tuition fee for CSE is Tk. 589,900 for students with combined GPA 10.",like
2026-01-14T09:18:16.939408,How can I contact the admissions office?,Contact: admissions@university.edu or +880-2-123456,like
2026-01-14T22:08:16.939408,What is the tuition fee for CSE?,"The tuition fee for CSE is Tk. 589,900 for students with combined GPA 10.",dislike
2026-01-13T07:28:16.939408,When is the next semester starting?,The next semester starts in January 2026.,like
2026-01-12T05:04:16.939408,What is the duration of the CSE program?,4 years undergraduate program,dislike
2026-01-13T15:33:16.939408,What are the admission requirements?,Minimum GPA of 3.5 in SSC and HSC combined is required for admission.,like
2026-01-13T19:01:16.939408,How can I contact the admissions office?,Contact: admissions@university.edu or +880-2-123456,dislike
2026-01-10T13:10:16.939408,When is the next semester starting?,The next semester starts in January 2026.,like
2026-01-11T05:22:16.939408,What is the student-faculty ratio?,The student-faculty ratio is approximately 25:1.,like
2026-01-15T22:42:16.939408,What are the admission requirements?,Minimum GPA of 3.5 in SSC and HSC combined is required for admission.,dislike
2026-01-12T14:33:16.939408,How do I apply for scholarships?,Scholarship applications can be submitted through the student portal with required documents.,dislike
2026-01-11T15:31:16.939408,What is the tuition fee for CSE?,"The tuition fee for CSE is Tk. 589,900 for students with combined GPA 10.",like
2026-01-09T15:04:16.939408,What is the tuition fee for CSE?,"The tuition fee for CSE is Tk. 589,900 for students with combined GPA 10.",like
2026-01-14T20:59:16.939408,What are the admission requirements?,Minimum GPA of 3.5 in SSC and HSC combined is required for admission.,dislike
2026-01-11T05:01:16.939408,How do I apply for scholarships?,Scholarship applications can be submitted through the student portal with required documents.,like
2026-01-12T01:25:16.939408,How do I apply for scholarships?,Scholarship applications can be submitted through the student portal with required documents.,dislike
2026-01-09T23:24:16.939408,What programs does the university offer?,"The university offers programs in CSE, EEE, BBA, Law, and Journalism.",like
2026-01-12T08:27:16.939408,What programs does the university offer?,"The university offers programs in CSE, EEE, BBA, Law, and Journalism.",dislike
2026-01-11T07:31:16.939408,What is the address of the university?,"66 Mohakhali, Dhaka-1212, Bangladesh",like
2026-01-09T22:45:16.939408,When is the next semester starting?,The next semester starts in January 2026.,like
2026-01-15T19:16:16.939408,What is the duration of the CSE program?,4 years undergraduate program,dislike
